State,County,IA Pop 2000,IA Pop 2001,IA Pop 2002,IA Pop 2003,IA Pop 2004,IA Pop 2005,IA Pop 2006,IA Pop 2007,IA Pop 2008,IA Pop 2009
IA,.Lucas County,"9,369","9,386","9,360","9,384","9,508","9,462","9,331","9,280","9,137","8,948"
IA,.Lyon County,"11,748","11,684","11,670","11,702","11,692","11,677","11,604","11,536","11,545","11,557"
IA,.Madison County,"14,049","14,144","14,312","14,481","14,733","14,918","15,262","15,418","15,517","15,510"
IA,.Mahaska County,"22,299","22,407","22,394","22,156","22,240","22,454","22,298","22,388","22,483","22,364"
IA,.Marion County,"32,104","32,583","32,572","32,547","32,618","32,774","33,396","33,279","33,515","33,468"
IA,.Marshall County,"39,356","39,414","39,297","39,397","39,711","39,646","39,601","39,875","40,151","40,280"
IA,.Mills County,"14,554","14,497","14,546","14,621","14,715","14,905","15,214","15,239","15,214","15,056"
IA,.Mitchell County,"10,868","10,736","10,822","10,830","10,898","10,800","10,836","10,812","10,815","10,763"
IA,.Monona County,"10,009","9,860","9,791","9,819","9,681","9,566","9,479","9,423","9,350","9,247"
IA,.Monroe County,"8,005","7,986","7,887","7,954","7,969","7,955","7,911","7,877","7,904","7,924"
IA,.Montgomery County,"11,793","11,509","11,313","11,211","11,191","11,214","11,179","10,981","10,823","10,803"
IA,.Muscatine County,"41,791","41,760","41,757","41,654","41,758","41,894","42,145","42,325","42,515","42,783"
IA,.O'Brien County,"15,067","14,950","14,808","14,762","14,564","14,552","14,558","14,421","14,332","14,412"
IA,.Osceola County,"6,985","6,963","6,899","6,888","6,863","6,743","6,713","6,600","6,617","6,509"
IA,.Page County,"16,939","16,822","16,506","16,356","16,227","16,274","16,331","16,256","16,083","15,885"
IA,.Palo Alto County,"10,135","10,051","9,896","9,748","9,753","9,702","9,586","9,577","9,486","9,510"
IA,.Plymouth County,"24,870","24,847","24,729","24,858","25,042","24,980","24,982","24,886","24,898","24,904"
IA,.Pocahontas County,"8,602","8,465","8,355","8,170","8,003","7,835","7,694","7,667","7,510","7,395"
IA,.Polk County,"375,627","380,108","384,355","388,277","392,164","399,030","405,990","413,024","419,495","425,737"
IA,.Pottawattamie County,"88,022","87,953","88,447","88,821","89,762","90,198","90,867","91,239","91,781","92,395"
IA,.Poweshiek County,"18,903","18,972","18,941","19,060","19,106","19,002","19,053","19,140","19,025","18,958"
IA,.Ringgold County,"5,465","5,415","5,339","5,332","5,335","5,304","5,230","5,201","5,164","5,119"
IA,.Sac County,"11,481","11,403","11,119","10,967","10,871","10,716","10,707","10,532","10,475","10,342"
IA,.Scott County,"158,614","158,203","158,086","158,048","158,145","158,543","159,597","160,077","161,824","163,582"
IA,.Shelby County,"13,031","12,990","12,869","12,819","12,750","12,547","12,480","12,496","12,338","12,165"
IA,.Sioux County,"31,609","31,952","32,164","32,318","32,547","32,726","33,077","33,150","33,364","33,587"
IA,.Story County,"80,152","80,260","81,885","82,068","82,754","82,884","84,739","86,540","87,831","89,285"
IA,.Tama County,"18,084","18,080","18,017","18,030","18,167","18,197","18,149","18,064","17,986","17,833"
IA,.Taylor County,"6,976","6,894","6,813","6,747","6,689","6,534","6,557","6,448","6,348","6,355"
IA,.Union County,"12,281","12,240","12,163","12,004","12,085","12,143","12,225","12,319","12,447","12,527"
IA,.Van Buren County,"7,793","7,716","7,722","7,672","7,665","7,638","7,660","7,690","7,699","7,628"
IA,.Wapello County,"36,007","35,947","35,796","35,750","35,709","35,855","35,776","35,458","35,381","35,481"
IA,.Warren County,"40,787","41,080","41,422","42,187","42,584","43,339","44,178","44,868","45,450","45,926"
IA,.Washington County,"20,718","21,064","21,108","21,190","21,258","21,350","21,472","21,588","21,686","21,692"
IA,.Wayne County,"6,728","6,655","6,665","6,614","6,561","6,494","6,478","6,376","6,373","6,393"
IA,.Webster County,"40,234","40,045","39,654","39,377","38,922","38,562","38,534","38,393","38,273","38,316"
IA,.Winnebago County,"11,778","11,586","11,403","11,412","11,321","11,340","11,138","10,986","10,927","10,917"
IA,.Winneshiek County,"21,265","21,258","21,183","21,006","21,040","21,060","21,012","21,078","20,980","21,025"
IA,.Woodbury County,"103,786","103,129","102,666","102,039","101,816","100,589","100,693","100,492","100,910","101,581"
IA,.Worth County,"7,894","7,797","7,795","7,734","7,731","7,742","7,649","7,655","7,632","7,610"
IA,.Wright County,"14,327","14,133","13,957","13,831","13,808","13,717","13,588","13,492","13,375","13,262"
