State,County,Year,Population,Unemployment Rate,2019 Median Income
IA,Monona County,2000,"10,009",3.1,
IA,Monroe County,2000,"8,005",6.4,
IA,Montgomery County,2000,"11,793",4.2,
IA,Muscatine County,2000,"41,791",2.7,
IA,O'Brien County,2000,"15,067",2.3,
IA,Osceola County,2000,"6,985",3.3,
IA,Page County,2000,"16,939",3.2,
IA,Palo Alto County,2000,"10,135",2.3,
IA,Plymouth County,2000,"24,870",2.5,
IA,Pocahontas County,2000,"8,602",2.7,
IA,Polk County,2000,"375,627",4.1,
IA,Pottawattamie County,2000,"88,022",2.3,
IA,Poweshiek County,2000,"18,903",2.7,
IA,Ringgold County,2000,"5,465",2.9,
IA,Sac County,2000,"11,481",2.6,
IA,Scott County,2000,"158,614",3.5,
IA,Shelby County,2000,"13,031",2.7,
IA,Sioux County,2000,"31,609",1.9,
IA,Story County,2000,"80,152",1.7,
IA,Tama County,2000,"18,084",3.3,
IA,Taylor County,2000,"6,976",4.9,
IA,Union County,2000,"12,281",4.8,
IA,Van Buren County,2000,"7,793",5.4,
IA,Wapello County,2000,"36,007",3.5,
IA,Warren County,2000,"40,787",5.6,
IA,Washington County,2000,"20,718",6.8,
IA,Wayne County,2000,"6,728",5,
IA,Webster County,2000,"40,234",3.8,
IA,Winnebago County,2000,"11,778",4.2,
IA,Winneshiek County,2000,"21,265",2.5,
IA,Woodbury County,2000,"103,786",2.6,
IA,Worth County,2000,"7,894",4.4,
IA,Wright County,2000,"14,327",2.6,
TX,Anderson County,2000,"55,062",4.1,
TX,Andrews County,2000,"12,949",4.9,
TX,Angelina County,2000,"80,270",4.8,
TX,Aransas County,2000,"22,452",5.9,
TX,Archer County,2000,"8,966",3.2,
TX,Armstrong County,2000,"2,166",5.7,
TX,Atascosa County,2000,"38,805",4.1,
TX,Austin County,2000,"23,836",3.9,
TX,Bailey County,2000,"6,596",4.5,
TX,Bandera County,2000,"17,755",3.6,
TX,Bastrop County,2000,"58,234",3.4,
TX,Baylor County,2000,"4,135",4.6,
TX,Bee County,2000,"32,200",5.8,
TX,Bell County,2000,"239,890",6.5,
TX,Bexar County,2000,"1,398,834",4,
TX,Blanco County,2000,"8,495",3.1,
TX,Borden County,2000,715,6.4,
TX,Bosque County,2000,"17,218",4.1,
TX,Bowie County,2000,"89,156",4.9,
TX,Brazoria County,2000,"243,116",4.9,
TX,Brazos County,2000,"153,145",3.7,
TX,Brewster County,2000,"8,903",3.9,
TX,Briscoe County,2000,"1,796",3.6,
TX,Brooks County,2000,"7,944",4.7,
TX,Brown County,2000,"37,689",3.2,
TX,Burleson County,2000,"16,553",4,
TX,Burnet County,2000,"34,505",3.5,
TX,Caldwell County,2000,"32,378",4.4,
TX,Calhoun County,2000,"20,676",5.1,
TX,Callahan County,2000,"12,885",3.8,
TX,Cameron County,2000,"336,123",6.6,
TX,Camp County,2000,"11,568",5.1,
TX,Carson County,2000,"6,492",3.2,
TX,Cass County,2000,"30,412",4.3,
TX,Castro County,2000,"8,229",3.6,
TX,Chambers County,2000,"26,188",4.4,
TX,Cherokee County,2000,"46,790",4.5,
TX,Childress County,2000,"7,676",4.7,
TX,Clay County,2000,"11,064",6.1,
TX,Cochran County,2000,"3,707",5.8,
TX,Coke County,2000,"3,844",4.2,
TX,Coleman County,2000,"9,180",4.7,
TX,Collin County,2000,"499,118",2.8,
TX,Collingsworth County,2000,"3,193",3.7,
TX,Colorado County,2000,"20,326",3.7,
TX,Comal County,2000,"78,583",3.5,
TX,Comanche County,2000,"13,998",2.2,
