County,Year,Cumulative Capacity of Wind Farm (in MW),Wind Farm Name,Duplicated
Adams County,2016.0,154.28,Adams,True
Adams County,2016.0,154.28,Adams,True
Adams County,2016.0,154.28,Adams,True
Adams County,2016.0,154.28,Adams,True
Adams County,2016.0,154.28,Adams,True
Adair County,2018.0,29.17,Arbor Hill,False
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
